,no,check_item,result
85,4.31,Do a check of all the bolts in the rod-end flange.,
86,,,Not Applicable
87,4.32,Torque,Nm
88,,,Not Applicable
89,4.33,Do a check for the loose bolts in the wedge for automatic blade lock in,OK
90,,all 3 blades.,
91,4.34,Do a check of the hydraulic cylinder piston rod for wear and damage.,OK
92,4.35,Do a check of the rod-protection covers on the piston rods for tear and,OK
93,,holes,
94,4.36,To do a check of the slide bushings for the cylinders: Do a visual and,OK
95,,audio inspection of the axial clearance.,
96,4.37,To do a check of the clearance in the bearing between the torque arm,OK
97,,shaft and the hydraulic cylinder: Do a visual and audio inspection of the,
98,,radial clearance.,
99,5,Hydraulic systems,
100,5.01,"Nacelle hydraulics: Examine the hoses, the seals, the connections in",OK
101,,"the nacelle, the main shaft, the hydraulic pump for hydraulic oil leakage.",
102,5.02,Examine the hydraulic oil level.,OK
103,5.03,Extract a sample of the hydraulic oil.,OK
104,5.04,Replace the air breather filter element.,OK
105,5.05,Brake system: Do a test of the brake.,OK
106,5.06,To do a visual inspection of the brake callipers: Do a visual inspection of,OK
107,,the brake callipers for cracks and other damage.,
108,5.07,"Do the visual inspection of the brake callipers, the pipes, and the hoses",OK
109,,for oil leakage.,
110,5.08,Visually examine all the hydraulic piping inlets and outlets.,OK
111,5.09,Do a check of the brake pads for thickness of the brake lining.,OK
112,5.10,Do a check to make sure that the wiring to the brake wear and heat,OK
113,,sensors in the brake pads is not damaged.,
114,6,Gearbox and gear oil system,
115,6.01,Gearbox: Do a check of the gear oil level.,OK
116,6.02,"Do a check of the joints, seals (pitch tube, input shaft, and output shaft)",OK
117,,"and covers (including split line, ring gear flange on the rotor end side,",
118,,and non-rotor end side) for leakage.,
119,6.03,Do an inspection of the gearbox for debris.,OK
120,6.04,Extract the gear oil sample.,OK
121,6.05,Replace the filter cartridge in the air filter housing.,OK
122,6.06,Gear oil system: Do a visual inspection of the gear oil hoses for damage,OK
123,,or leakage.,
124,6.07,Replace the offline filter and the O-rings in the gearbox.,OK
125,6.08,"Visually examine all the fittings, components on the filter block, and the",OK
126,,pumps for leakage.,
127,6.09,Main shaft arrangement: Examine the bearing for unusual noise.,OK
128,6.10,To lubricate the main bearings: Lubricate the main bearing without an,OK
129,,automatic grease lubrication system.,
130,6.11,Lubricate the main bearing with an automatic grease lubrication system.,OK
131,6.12,Do a check and adjust the LSS or RPM sensors.,OK
132,6.13,To examine the rotor locking pins: Do a visual inspection of the rotor,OK
133,,locking pins and the rotor lock disc holes for damage.,
134,6.14,Lubricate the rotor locking pins.,OK
135,6.15,Torque arm system: Do a check of the 4 bolts in the integrated torque,
136,,arm or gear connection on each side.,
137,,,Not Applicable
138,6.16,Torque:,Nm
139,,,Not Applicable
140,6.17,Pressure:,bar
141,,,Not Applicable
142,6.18,Do a check of both the integrated torque arms for visible cracks.,OK
143,6.19,Do a check of the upper and the lower rubber vibration elements or,OK
144,,rubber dampers for visible cracks on both the torque arms.,
145,6.20,Do a check for play in the vibration elements or the rubber dampers.,OK
146,6.21,Visually examine to make sure that the earthing cables that connects,OK
147,,the gearbox and main foundation not damaged.,
148,7,Generator and coupling,
149,7.01,Generator: Do a check of the bearings for unusual noise.,OK
150,7.02,Do a check of the automatic lubrication system.,OK
151,7.03,Do a check to see if the grease return pipe is blocked.,OK
152,7.04,Do a check of the lubrication pump for tightness.,OK
153,7.05,Do a check of the power slip ring system.,OK
154,7.06,Measure all ground brushes:,OK
155,7.07,Ground brush – 1:,"67,000
mm"
156,7.08,Ground brush – 2,"66,000
mm"
157,7.09,Ground brush – 3,"66,000
mm"
158,7.10,Ground brush – 4:,"65,000
mm"
159,7.11,Ground brush – 5:,"66,000
mm"
160,7.12,Ground brush – 6:,"65,000
mm"
161,7.13,Do a check of the form and function of the ground brushes.,OK
162,7.14,Identify the power brush type: Mersen,OK
163,7.15,Identify the power brush type: BGB,
164,,,Not Applicable
165,7.16,Measure the most worn power brush:,OK
166,7.17,Measurement:,"66,000
mm"
167,7.18,Do a check of the form and function of the power brushes.,OK
168,7.19,Identify the slip ring unit type: Mersen,OK
169,7.20,Identify the slip ring unit type: BGB,
170,,,Not Applicable
171,7.21,Do a check of the slip ring surfaces.,OK
172,7.22,Do a check and measure the groove depth for the power brushes.,OK
173,7.23,Power brush – 1:,"66,000
mm"
174,7.24,Power brush – 2:,"67,000
mm"
175,7.25,Power brush – 3:,"67,000
mm"
176,7.26,To check the suction fan and the filter for the PSRS: Do a check of the,OK
177,,"suction fan, the filter, and the exhaust hose fitting.",
178,7.27,HS coupling: Do a check of the connecting tube.,OK
179,7.28,Do a check of the discs.,OK
180,7.29,Examine the tightness of all the bolts.,OK
181,8,Cooling and conditioning,
182,8.01,To do a check of the liquid cooling system: Do a visual inspection of the,OK
183,,circulation pump -690-02-G1 for leakage in the shaft seal.,
184,8.02,CoolerTop®: Do a check of the CoolerTop® ladder for loose or missing,OK
185,,bolts.,
186,8.03,Visually examine the fibreglass for cracks along the leading edge.,OK
187,8.04,Visually examine the cooler elements on the CoolerTop® for damage,OK
188,,through the skylight.,
189,9,Nacelle,
190,9.01,Safety functions: Examine the parking brake.,OK
191,9.02,Do a test of the shock sensor.,OK
192,9.03,Nacelle controller cabinets: To do a check of the ++03 CON A controller,OK
193,,section: Do a test of the heating element.,
194,9.04,Do a test of the safety system batteries.,OK
195,9.05,Do a check of the fan and the air filters.,OK
196,9.06,To do a check of the ++53 CON B controller section: Do a test of the,OK
197,,heating element.,
198,9.07,Do a check of the fan and the air filters.,OK
199,9.08,To do a check of the ++04++3 busbar cabinet: Do a test of the heating,OK
200,,element.,
201,9.09,Do a check of the fan and the air filters.,OK
202,9.10,"Do a test of the main circuit breakers (-405-04-F1, -400-04-F1, and",OK
203,,-660-02-F4).,
204,9.11,To do a check of the ++04++1 VCS converter cabinet: Do a test of the,OK
205,,heating element.,
206,9.12,Do a check of the air filter.,OK
207,9.13,Rotating transfer unit: To do a check of the slip ring unit (BGB): Visually,OK
208,,examine the slip ring unit for burns and excessive dust.,
209,9.14,Do a visual check of the brushes for burns and wear.,OK
210,9.15,To do a check of the slip ring unit (REKOFA): Visually examine the slip,
211,,ring unit for burns and excessive dust.,
212,,,Not Applicable
213,9.16,Do a visual check of the brushes for burns and wear.,
214,,,Not Applicable
215,9.17,Nacelle cover: Do a check of the bolts in the nacelle cover assembly for,OK
216,,any loose or missing bolts.,
217,9.18,Do a check of all the fittings to the nacelle cover for cracks.,OK
218,9.19,Do a check of the fibreglass for cracks around the fittings.,OK
219,9.20,Do a check of the fibreglass very carefully for cracks at points of,OK
220,,attachment.,
221,9.21,To do a check of the anchor points: Do a check of the anchor points.,OK
222,9.22,Do a check of all the bolted connections of the outer anchor points.,OK
223,9.23,Do a check of the anchor points for cracks.,OK
224,9.24,Wind sensor: Clean the wind sensor.,OK
225,9.25,Visually examine the cables for damage and wear.,OK
226,9.26,"Examine all the wind sensor equipment, the brackets, and the masts for",OK
227,,severe damage.,
228,9.27,"Do a check of all the wind sensor equipment, the brackets, and the",OK
229,,masts for tightness.,
230,10,Yaw system,
231,10.01,Yaw bearing system: Do a check of spring packages on each yaw,OK
232,,beam.,
233,10.02,Do a check of the yaw teeth for wear and damage.,OK
234,10.03,Yaw lubrication system: Manually lubricate the yaw sliding surface.,OK
235,10.04,Do a check of the automatic lubrication of the yaw sliding surface.,OK
236,10.05,To do the automatic lubrication of the yaw teeth: Fill the grease,OK
237,,reservoir on the lubrication pump.,
238,10.06,Do a check of the lubrication system.,OK
239,10.07,Examine if all the lubrication wheels are in engagement with the yaw,OK
240,,pinion or the yaw ring.,
241,10.08,Yaw gear and motor: Do a check of the oil level in the planetary gears,OK
242,,and in the worm gears.,
243,10.09,Do a check and adjust the brake torque of 2 of the 6 yaw gear motors.,OK
244,10.10,Measured value before adjustment: Left front,
245,,,Not Applicable
246,10.11,Measured value before adjustment: Right front,
247,,,Not Applicable
248,10.12,Measured value before adjustment: Left rear,35nm
249,10.13,Measured value before adjustment: Right rear,37 nm
250,10.14,Measured value before adjustment: Left middle,
251,,,Not Applicable
252,10.15,Measured value before adjustment: Right middle,
253,,,Not Applicable
254,10.16,New value after adjustment: Left front,
255,,,Not Applicable
256,10.17,New value after adjustment: Right front,
257,,,Not Applicable
258,10.18,New value after adjustment: Left rear,
259,,,Not Applicable
260,10.19,New value after adjustment: Right rear,
261,,,Not Applicable
262,10.20,New value after adjustment: Left middle,
263,,,Not Applicable
264,10.21,New value after adjustment: Right middle,
265,,,Not Applicable
266,10.22,Do a check for noise or vibration from the yaw gear bearing.,OK
267,10.23,Do a check if the yaw gears run smoothly.,OK
268,11,Service crane,
269,11.01,Examine the service crane.,OK
270,12,High voltage,
271,12.01,"Do an inspection of the transformer, the transformer room, and the HV",OK
272,,switchgear.,
273,13,Service lift and climb assistance,
274,13.01,Do a check of the service lift and the climb assistance according to the,OK
275,,supplier’s user manual.,
276,14,Tower,
277,14.01,"Tower: Visually examine the grout and concrete for cracks, scaling, and",OK
278,,such like on the outer and inner side of the tower.,
279,14.02,To do a check of the anchor bolts in the anchor cage foundation:,OK
280,,Visually examine the bolt protection caps.,
281,14.03,Visually examine all the anchor bolts for corrosion and/or visible,OK
282,,damage.,
283,14.04,"Visually examine the foundation anchor bolts for missing, broken, or",OK
284,,"loose foundation anchor bolts, and corrosion protection of the",
285,,foundation anchor bolts.,
286,14.05,To do an inspection of the tower flange bolts: Visually examine for,OK
287,,"missing, broken, or loose tower flange bolts, corrosion protection on the",
288,,"tower flange bolts and in the tower flange area, and water leakage in",
289,,the tower flanges.,
290,14.06,Do a check of the tower flange bolts. See 0002-1230 ‘Inspection of,OK
291,,pretension in the tower flange bolts’ and fill in SIF 0002-1232 'Inspection,
292,,form for check of the tower flange bolts’.,
293,14.07,Do a visual check of the ventilation filter at the door of the tower.,OK
294,14.08,Do a check of the tower inside and outside for damage.,OK
295,14.09,To do a visual inspection of the middle section liquid damper (optional):,OK
296,,Do a visual inspection of the liquid level in the barrels.,
297,14.10,Do a visual inspection of the barrels for liquid leakage.,OK
298,14.11,Do a visual inspection of the mechanical components of the damper,OK
299,,units and wires.,
300,14.12,To do a check of the functionality of the dehumidifier (optional): Do a,OK
301,,"check of the function, filter, installation, and state of the connection hose",
302,,if the tower is installed with a dehumidifier.,
303,14.13,Do a check for possible corrosion and dust (in the steel components).,OK
304,14.14,Tower surface treatment: Do a check of the surface protection of the,OK
305,,tower.,
306,14.15,Cable and earthing system: Visually examine the cables for damage,OK
307,,and wear.,
308,14.16,Do a check of the Vestas earthing system.,OK
309,14.17,++06 UPS cabinet: Do a check of the settings of the timers and the,OK
310,,temperature control devices according to the relay setting document.,
311,,"See 0061-1789 ’Relay setting for V100/V110 2,2 MW VCS/VCSS Mk",
312,,10D’.,
313,14.18,Do a check of the MCBs.,OK
314,14.19,Visually examine the UPS battery cartridges and the UPS battery packs,OK
315,,for leakage.,
316,14.20,To do a test of the UPS batteries: Do a test of the UPS batteries.,OK
317,14.21,"Replace the UPS batteries, if necessary. Date (as a comment)",
318,,,Not Applicable
319,14.22,"Replace the UPS, if necessary. Date (as a comment).",
320,,,Not Applicable
321,14.23,Do a check of the heating elements.,OK
322,14.24,Examine the fan.,OK
323,14.25,Do a check of the air filters in the UPS cabinet.,OK
324,14.26,++01 Ground control cabinet: Examine if the heating elements are,OK
325,,activated.,
326,14.27,"Do a test of the ++01-300-F1, ++01-660-12-F10, and ++01-660-10-F11",OK
327,,RCBOs and RCCBs.,
328,14.28,Do a check of the contactor switching counter for contactors -695-02-Q1,OK
329,,and -695-04-Q1 for number of switching.,
330,14.29,Number of switching:,02 : 896#04 : 920
331,14.30,++51 Light box: Examine the RCCB ++51-640-02-03-F1 inside the ++51,OK
332,,light system control panel.,
333,14.31,Visually examine the 12 V batteries for leakage.,OK
334,14.32,Examine the function of the emergency light and the 12 V batteries.,OK
335,14.33,Do a check of the air filter in the light box cabinet.,OK
336,15,Finish work,
337,15.01,"Clean the cabinets, the covers, and the other surfaces for grease spots",OK
338,,and finger marks.,
339,15.02,Clean grease from the checker plates and the other surfaces.,OK
340,15.03,Remove the collected grease from the yaw top teeth.,OK
341,15.04,Clean the tower basement and tower from inside.,OK
